UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '1', '7', '2019', '1', '1', '0', '0.0'
'2019', '1', '1', '8', '2019', '1', '1', '1', '0.0'
'2019', '1', '1', '9', '2019', '1', '1', '2', '0.0'
'2019', '1', '1', '10', '2019', '1', '1', '3', '0.0'
'2019', '1', '1', '11', '2019', '1', '1', '4', '0.0'
'2019', '1', '1', '12', '2019', '1', '1', '5', '0.0'
'2019', '1', '1', '13', '2019', '1', '1', '6', '0.0'
'2019', '1', '1', '14', '2019', '1', '1', '7', '0.0'
'2019', '1', '1', '15', '2019', '1', '1', '8', '0.0'
'2019', '1', '1', '16', '2019', '1', '1', '9', '0.122363656'
'2019', '1', '1', '17', '2019', '1', '1', '10', '0.400274625'
'2019', '1', '1', '18', '2019', '1', '1', '11', '0.362406938'
'2019', '1', '1', '19', '2019', '1', '1', '12', '0.26407040600000004'
'2019', '1', '1', '20', '2019', '1', '1', '13', '0.29421775'
'2019', '1', '1', '21', '2019', '1', '1', '14', '0.388269375'
'2019', '1', '1', '22', '2019', '1', '1', '15', '0.044460699'
'2019', '1', '1', '23', '2019', '1', '1', '16', '0.026815922'
'2019', '1', '2', '0', '2019', '1', '1', '17', '0.0'
'2019', '1', '2', '1', '2019', '1', '1', '18', '0.0'
'2019', '1', '2', '2', '2019', '1', '1', '19', '0.0'
'2019', '1', '2', '3', '2019', '1', '1', '20', '0.0'
'2019', '1', '2', '4', '2019', '1', '1', '21', '0.0'
'2019', '1', '2', '5', '2019', '1', '1', '22', '0.0'
'2019', '1', '2', '6', '2019', '1', '1', '23', '0.0'
'2019', '1', '2', '7', '2019', '1', '2', '0', '0.0'
'2019', '1', '2', '8', '2019', '1', '2', '1', '0.0'
'2019', '1', '2', '9', '2019', '1', '2', '2', '0.0'
'2019', '1', '2', '10', '2019', '1', '2', '3', '0.0'
'2019', '1', '2', '11', '2019', '1', '2', '4', '0.0'
'2019', '1', '2', '12', '2019', '1', '2', '5', '0.0'
'2019', '1', '2', '13', '2019', '1', '2', '6', '0.0'
'2019', '1', '2', '14', '2019', '1', '2', '7', '0.0'
'2019', '1', '2', '15', '2019', '1', '2', '8', '0.0'
'2019', '1', '2', '16', '2019', '1', '2', '9', '0.049222535000000005'
'2019', '1', '2', '17', '2019', '1', '2', '10', '0.21812857800000002'
'2019', '1', '2', '18', '2019', '1', '2', '11', '0.144754453'
'2019', '1', '2', '19', '2019', '1', '2', '12', '0.06868653100000001'
'2019', '1', '2', '20', '2019', '1', '2', '13', '0.125979375'
'2019', '1', '2', '21', '2019', '1', '2', '14', '0.228662813'
'2019', '1', '2', '22', '2019', '1', '2', '15', '0.115092148'
'2019', '1', '2', '23', '2019', '1', '2', '16', '0.011223136'
'2019', '1', '3', '0', '2019', '1', '2', '17', '0.0'
'2019', '1', '3', '1', '2019', '1', '2', '18', '0.0'
'2019', '1', '3', '2', '2019', '1', '2', '19', '0.0'
'2019', '1', '3', '3', '2019', '1', '2', '20', '0.0'
'2019', '1', '3', '4', '2019', '1', '2', '21', '0.0'
'2019', '1', '3', '5', '2019', '1', '2', '22', '0.0'
'2019', '1', '3', '6', '2019', '1', '2', '23', '0.0'
'2019', '1', '3', '7', '2019', '1', '3', '0', '0.0'
'2019', '1', '3', '8', '2019', '1', '3', '1', '0.0'
'2019', '1', '3', '9', '2019', '1', '3', '2', '0.0'
'2019', '1', '3', '10', '2019', '1', '3', '3', '0.0'
'2019', '1', '3', '11', '2019', '1', '3', '4', '0.0'
'2019', '1', '3', '12', '2019', '1', '3', '5', '0.0'
'2019', '1', '3', '13', '2019', '1', '3', '6', '0.0'
'2019', '1', '3', '14', '2019', '1', '3', '7', '0.0'
'2019', '1', '3', '15', '2019', '1', '3', '8', '0.0'
'2019', '1', '3', '16', '2019', '1', '3', '9', '0.022657793000000002'
'2019', '1', '3', '17', '2019', '1', '3', '10', '0.383693844'
'2019', '1', '3', '18', '2019', '1', '3', '11', '0.257655172'
'2019', '1', '3', '19', '2019', '1', '3', '12', '0.188649438'
'2019', '1', '3', '20', '2019', '1', '3', '13', '0.07904557000000001'
'2019', '1', '3', '21', '2019', '1', '3', '14', '0.057528266'
'2019', '1', '3', '22', '2019', '1', '3', '15', '0.154921953'
'2019', '1', '3', '23', '2019', '1', '3', '16', '0.039825152'
'2019', '1', '4', '0', '2019', '1', '3', '17', '0.0'
'2019', '1', '4', '1', '2019', '1', '3', '18', '0.0'
'2019', '1', '4', '2', '2019', '1', '3', '19', '0.0'
'2019', '1', '4', '3', '2019', '1', '3', '20', '0.0'
'2019', '1', '4', '4', '2019', '1', '3', '21', '0.0'
'2019', '1', '4', '5', '2019', '1', '3', '22', '0.0'
'2019', '1', '4', '6', '2019', '1', '3', '23', '0.0'
'2019', '1', '4', '7', '2019', '1', '4', '0', '0.0'
'2019', '1', '4', '8', '2019', '1', '4', '1', '0.0'
'2019', '1', '4', '9', '2019', '1', '4', '2', '0.0'
'2019', '1', '4', '10', '2019', '1', '4', '3', '0.0'
'2019', '1', '4', '11', '2019', '1', '4', '4', '0.0'
'2019', '1', '4', '12', '2019', '1', '4', '5', '0.0'
'2019', '1', '4', '13', '2019', '1', '4', '6', '0.0'
'2019', '1', '4', '14', '2019', '1', '4', '7', '0.0'
'2019', '1', '4', '15', '2019', '1', '4', '8', '0.0'
'2019', '1', '4', '16', '2019', '1', '4', '9', '0.109745492'
'2019', '1', '4', '17', '2019', '1', '4', '10', '0.37357365600000003'
'2019', '1', '4', '18', '2019', '1', '4', '11', '0.052431324'
'2019', '1', '4', '19', '2019', '1', '4', '12', '0.046142055'
'2019', '1', '4', '20', '2019', '1', '4', '13', '0.064184273'
'2019', '1', '4', '21', '2019', '1', '4', '14', '0.032166006000000004'
'2019', '1', '4', '22', '2019', '1', '4', '15', '0.0658265'
'2019', '1', '4', '23', '2019', '1', '4', '16', '0.008365359000000001'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '4', '0.0'
