ASSET_SHORT_NAME,ASSET_NAME,FUEL_TYPE,SUB_FUEL_TYPE,MAXIMUM_CAPABILITY
AFG1,APF Athabasca (AFG1)*,OTHER,,131.000
AKE1,McBride Lake Windfarm (AKE1)*,WIND,,73.000
ALP1,Bantry (ALP1),GAS,SIMPLE_CYCLE,7.000
ALP2,Parkland (ALP2),GAS,SIMPLE_CYCLE,10.000
ALS1,Air Liquide Scotford #1 (ALS1),GAS,COGENERATION,106.000
ANC1,AB Newsprint (ANC1),GAS,SIMPLE_CYCLE,63.000
APS1,Scotford Upgrader (APS1),GAS,COGENERATION,195.000
ARD1,Ardenville Wind (ARD1)*,WIND,,68.000
BCR2,Bear Creek 2 (BCR2),GAS,COGENERATION,36.000
BCRK,Bear Creek 1 (BCRK),GAS,COGENERATION,64.000
BFD1,Blackfalds (BFD1),GAS,COGENERATION,6.000
BHL1,Bellshill (BHL1),GAS,SIMPLE_CYCLE,5.000
BIG,Bighorn Hydro (BIG),HYDRO,,120.000
BOW1,Bow River Hydro (BOW1),HYDRO,,320.000
BR4,Battle River #4 (BR4),COAL,,155.000
BR5,Battle River #5 (BR5),COAL,,385.000
BRA,Brazeau Hydro (BRA),HYDRO,,350.000
BSC1,Brooks Solar (BSC1),OTHER,,15.000
BSR1,Blackspring Ridge (BSR1)*,WIND,,300.000
BTR1,Blue Trail Wind (BTR1)*,WIND,,66.000
BUL1,BUL1 Bull Creek (BUL1)*,WIND,,13.000
BUL2,BUL2 Bull Creek (BUL2)*,WIND,,16.000
CAL1,ENMAX Calgary Energy Centre (CAL1),GAS,COMBINED_CYCLE,320.000
CCMH,Cancarb Medicine Hat (CCMH),OTHER,,42.000
CHIN,Chin Chute (CHIN),HYDRO,,15.000
CL01,Christina Lake (CL01),GAS,COGENERATION,100.000
CMH1,Medicine Hat #1 (CMH1),GAS,COMBINED_CYCLE,255.000
CNR5,CNRL Horizon (CNR5)*,GAS,COGENERATION,203.000
COD1,Coaldale (COD1),GAS,COGENERATION,5.000
COD1,Coaldale (COD1),GAS,COGENERATION,5.000
CR1,Castle River #1 (CR1)*,WIND,,39.000
CRE3,Cowley Ridge (CRE3)*,WIND,,20.000
CRG1,Camrose (CRG1)*,GAS,COGENERATION,10.000
CRR1,Castle Rock Wind Farm (CRR1)*,WIND,,77.000
CRR2,Castle Rock Ridge 2 (CRR2)*,WIND,,29.000
CRS1,Crossfield Energy Centre #1 (CRS1),GAS,SIMPLE_CYCLE,48.000
CRS2,Crossfield Energy Centre #2 (CRS2),GAS,SIMPLE_CYCLE,48.000
CRS3,Crossfield Energy Centre #3 (CRS3),GAS,SIMPLE_CYCLE,48.000
DAI1,DAI1 Daishowa (DAI1),OTHER,,52.000
DKSN,Dickson Dam (DKSN),HYDRO,,15.000
DOWG,Dow Hydrocarbon (DOWG),GAS,COGENERATION,326.000
DRW1,Drywood (DRW1),GAS,SIMPLE_CYCLE,6.000
EAGL,Whitecourt Power (EAGL),OTHER,,25.000
EC01,Cavalier (EC01),GAS,COMBINED_CYCLE,120.000
EC04,Foster Creek (EC04),GAS,COGENERATION,98.000
EGC1,Shepard (EGC1),GAS,COMBINED_CYCLE,860.000
ENC1,Cloverbar #1 (ENC1),GAS,SIMPLE_CYCLE,48.000
ENC2,Cloverbar #2 (ENC2),GAS,SIMPLE_CYCLE,101.000
ENC3,Cloverbar #3 (ENC3),GAS,SIMPLE_CYCLE,101.000
FH1,Fort Hills (FH1),GAS,COGENERATION,199.000
FNG1,Fort Nelson (FNG1),GAS,COMBINED_CYCLE,73.000
GEN5,Carson Creek (GEN5),GAS,SIMPLE_CYCLE,15.000
GEN6,Judy Creek (GEN6),GAS,SIMPLE_CYCLE,15.000
GN1,Genesee #1 (GN1),COAL,,400.000
GN2,Genesee #2 (GN2),COAL,,400.000
GN3,Genesee #3 (GN3),COAL,,466.000
GOC1,Gold Creek Facility (GOC1),OTHER,,5.000
GPEC,Grande Prairie EcoPower (GPEC),OTHER,,27.000
GWW1,Soderglen Wind  (GWW1)*,WIND,,71.000
HAL1,Halkirk Wind Power Facility (HAL1)*,WIND,,150.000
HMT1,AltaGas Harmattan (HMT1),GAS,COGENERATION,45.000
HRM,H.R. Milner (HRM),COAL,,144.000
HSM1,House Mountain (HSM1),GAS,SIMPLE_CYCLE,6.000
ICP1,Irrican Hydro (ICP1),HYDRO,,7.000
IEW1,Summerview 1 (IEW1)*,WIND,,66.000
IEW2,Summerview 2 (IEW2)*,WIND,,66.000
IOR1,Mahkeses (IOR1),GAS,COGENERATION,180.000
IOR2,Nabiye (IOR2)*,GAS,COGENERATION,195.000
IOR3,Kearl (IOR3),GAS,COGENERATION,84.000
JOF1,Joffre #1 (JOF1),GAS,COGENERATION,474.000
KH1,Keephills #1 (KH1),COAL,,395.000
KH2,Keephills #2 (KH2),COAL,,395.000
KH3,Keephills #3 (KH3),COAL,,463.000
KHW1,Kettles Hill (KHW1)*,WIND,,63.000
ME02,Lethbridge Taber (ME02),GAS,SIMPLE_CYCLE,8.000
ME03,Lethbridge Burdett (ME03),GAS,SIMPLE_CYCLE,7.000
