UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '1', '7', '2019', '1', '1', '0', '0.0'
'2019', '1', '1', '8', '2019', '1', '1', '1', '0.0'
'2019', '1', '1', '9', '2019', '1', '1', '2', '0.0'
'2019', '1', '1', '10', '2019', '1', '1', '3', '0.0'
'2019', '1', '1', '11', '2019', '1', '1', '4', '0.0'
'2019', '1', '1', '12', '2019', '1', '1', '5', '0.0'
'2019', '1', '1', '13', '2019', '1', '1', '6', '0.0'
'2019', '1', '1', '14', '2019', '1', '1', '7', '0.0'
'2019', '1', '1', '15', '2019', '1', '1', '8', '0.49365263300000006'
'2019', '1', '1', '16', '2019', '1', '1', '9', '12.103897313'
'2019', '1', '1', '17', '2019', '1', '1', '10', '12.463617134'
'2019', '1', '1', '18', '2019', '1', '1', '11', '15.737344688999999'
'2019', '1', '1', '19', '2019', '1', '1', '12', '23.490507047'
'2019', '1', '1', '20', '2019', '1', '1', '13', '28.649282094'
'2019', '1', '1', '21', '2019', '1', '1', '14', '38.815026439'
'2019', '1', '1', '22', '2019', '1', '1', '15', '19.672904797'
'2019', '1', '1', '23', '2019', '1', '1', '16', '0.0'
'2019', '1', '1', '6', '2019', '1', '1', '0', '0.0'
'2019', '1', '2', '0', '2019', '1', '1', '17', '0.0'
'2019', '1', '2', '1', '2019', '1', '1', '18', '0.0'
'2019', '1', '2', '2', '2019', '1', '1', '19', '0.0'
'2019', '1', '2', '3', '2019', '1', '1', '20', '0.0'
'2019', '1', '2', '4', '2019', '1', '1', '21', '0.0'
'2019', '1', '2', '5', '2019', '1', '1', '22', '0.0'
'2019', '1', '2', '6', '2019', '1', '1', '23', '0.0'
'2019', '1', '2', '7', '2019', '1', '2', '0', '0.0'
'2019', '1', '2', '8', '2019', '1', '2', '1', '0.0'
'2019', '1', '2', '9', '2019', '1', '2', '2', '0.0'
'2019', '1', '2', '10', '2019', '1', '2', '3', '0.0'
'2019', '1', '2', '11', '2019', '1', '2', '4', '0.0'
'2019', '1', '2', '12', '2019', '1', '2', '5', '0.0'
'2019', '1', '2', '13', '2019', '1', '2', '6', '0.0'
'2019', '1', '2', '14', '2019', '1', '2', '7', '0.0'
'2019', '1', '2', '15', '2019', '1', '2', '8', '0.332499313'
'2019', '1', '2', '16', '2019', '1', '2', '9', '8.941678178999998'
'2019', '1', '2', '17', '2019', '1', '2', '10', '19.247224550000002'
'2019', '1', '2', '18', '2019', '1', '2', '11', '17.442861641999997'
'2019', '1', '2', '19', '2019', '1', '2', '12', '23.839294141'
'2019', '1', '2', '20', '2019', '1', '2', '13', '20.302074719'
'2019', '1', '2', '21', '2019', '1', '2', '14', '60.526329108999995'
'2019', '1', '2', '22', '2019', '1', '2', '15', '34.175778234'
'2019', '1', '2', '23', '2019', '1', '2', '16', '0.0'
'2019', '1', '3', '0', '2019', '1', '2', '17', '0.0'
'2019', '1', '3', '1', '2019', '1', '2', '18', '0.0'
'2019', '1', '3', '2', '2019', '1', '2', '19', '0.0'
'2019', '1', '3', '3', '2019', '1', '2', '20', '0.0'
'2019', '1', '3', '4', '2019', '1', '2', '21', '0.0'
'2019', '1', '3', '5', '2019', '1', '2', '22', '0.0'
'2019', '1', '3', '6', '2019', '1', '2', '23', '0.0'
'2019', '1', '3', '7', '2019', '1', '3', '0', '0.0'
'2019', '1', '3', '8', '2019', '1', '3', '1', '0.0'
'2019', '1', '3', '9', '2019', '1', '3', '2', '0.0'
'2019', '1', '3', '10', '2019', '1', '3', '3', '0.0'
'2019', '1', '3', '11', '2019', '1', '3', '4', '0.0'
'2019', '1', '3', '12', '2019', '1', '3', '5', '0.0'
'2019', '1', '3', '13', '2019', '1', '3', '6', '0.0'
'2019', '1', '3', '14', '2019', '1', '3', '7', '0.0'
'2019', '1', '3', '15', '2019', '1', '3', '8', '0.5743168129999999'
'2019', '1', '3', '16', '2019', '1', '3', '9', '25.281370093000003'
'2019', '1', '3', '17', '2019', '1', '3', '10', '61.078590899'
'2019', '1', '3', '18', '2019', '1', '3', '11', '29.491117781000003'
'2019', '1', '3', '19', '2019', '1', '3', '12', '32.160812603'
'2019', '1', '3', '20', '2019', '1', '3', '13', '24.464604429999998'
'2019', '1', '3', '21', '2019', '1', '3', '14', '36.901639965'
'2019', '1', '3', '22', '2019', '1', '3', '15', '13.572324312000001'
'2019', '1', '3', '23', '2019', '1', '3', '16', '2.5107032499999997'
'2019', '1', '4', '0', '2019', '1', '3', '17', '0.0'
'2019', '1', '4', '1', '2019', '1', '3', '18', '0.0'
'2019', '1', '4', '2', '2019', '1', '3', '19', '0.0'
'2019', '1', '4', '3', '2019', '1', '3', '20', '0.0'
'2019', '1', '4', '4', '2019', '1', '3', '21', '0.0'
'2019', '1', '4', '5', '2019', '1', '3', '22', '0.0'
'2019', '1', '4', '6', '2019', '1', '3', '23', '0.0'
'2019', '1', '4', '7', '2019', '1', '4', '0', '0.0'
'2019', '1', '4', '8', '2019', '1', '4', '1', '0.0'
'2019', '1', '4', '9', '2019', '1', '4', '2', '0.0'
'2019', '1', '4', '10', '2019', '1', '4', '3', '0.0'
'2019', '1', '4', '11', '2019', '1', '4', '4', '0.0'
'2019', '1', '4', '12', '2019', '1', '4', '5', '0.0'
'2019', '1', '4', '13', '2019', '1', '4', '6', '0.0'
'2019', '1', '4', '14', '2019', '1', '4', '7', '0.0'
'2019', '1', '4', '15', '2019', '1', '4', '8', '0.50300047'
'2019', '1', '4', '16', '2019', '1', '4', '9', '28.073679251'
'2019', '1', '4', '17', '2019', '1', '4', '10', '39.464937689'
'2019', '1', '4', '18', '2019', '1', '4', '11', '32.91950197'
'2019', '1', '4', '19', '2019', '1', '4', '12', '29.371068489'
'2019', '1', '4', '20', '2019', '1', '4', '13', '25.847809907'
'2019', '1', '4', '21', '2019', '1', '4', '14', '29.141527468999996'
'2019', '1', '4', '22', '2019', '1', '4', '15', '23.074965500999998'
'2019', '1', '4', '23', '2019', '1', '4', '16', '0.546401062'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
