UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '1', '7', '2019', '1', '1', '0', '0.0'
'2019', '1', '1', '8', '2019', '1', '1', '1', '0.0'
'2019', '1', '1', '9', '2019', '1', '1', '2', '0.0'
'2019', '1', '1', '10', '2019', '1', '1', '3', '0.0'
'2019', '1', '1', '11', '2019', '1', '1', '4', '0.0'
'2019', '1', '1', '12', '2019', '1', '1', '5', '0.0'
'2019', '1', '1', '13', '2019', '1', '1', '6', '0.0'
'2019', '1', '1', '14', '2019', '1', '1', '7', '0.0'
'2019', '1', '1', '15', '2019', '1', '1', '8', '493.65263300000004'
'2019', '1', '1', '16', '2019', '1', '1', '9', '11391.791844'
'2019', '1', '1', '17', '2019', '1', '1', '10', '10926.170196'
'2019', '1', '1', '18', '2019', '1', '1', '11', '15066.23861'
'2019', '1', '1', '19', '2019', '1', '1', '12', '20308.475797'
'2019', '1', '1', '20', '2019', '1', '1', '13', '19716.242344000002'
'2019', '1', '1', '21', '2019', '1', '1', '14', '27953.711189'
'2019', '1', '1', '22', '2019', '1', '1', '15', '14532.730672'
'2019', '1', '1', '23', '2019', '1', '1', '16', '0.0'
'2019', '1', '1', '6', '2019', '1', '1', '0', '0.0'
'2019', '1', '2', '0', '2019', '1', '1', '17', '0.0'
'2019', '1', '2', '1', '2019', '1', '1', '18', '0.0'
'2019', '1', '2', '2', '2019', '1', '1', '19', '0.0'
'2019', '1', '2', '3', '2019', '1', '1', '20', '0.0'
'2019', '1', '2', '4', '2019', '1', '1', '21', '0.0'
'2019', '1', '2', '5', '2019', '1', '1', '22', '0.0'
'2019', '1', '2', '6', '2019', '1', '1', '23', '0.0'
'2019', '1', '2', '7', '2019', '1', '2', '0', '0.0'
'2019', '1', '2', '8', '2019', '1', '2', '1', '0.0'
'2019', '1', '2', '9', '2019', '1', '2', '2', '0.0'
'2019', '1', '2', '10', '2019', '1', '2', '3', '0.0'
'2019', '1', '2', '11', '2019', '1', '2', '4', '0.0'
'2019', '1', '2', '12', '2019', '1', '2', '5', '0.0'
'2019', '1', '2', '13', '2019', '1', '2', '6', '0.0'
'2019', '1', '2', '14', '2019', '1', '2', '7', '0.0'
'2019', '1', '2', '15', '2019', '1', '2', '8', '332.49931300000003'
'2019', '1', '2', '16', '2019', '1', '2', '9', '8941.678178999999'
'2019', '1', '2', '17', '2019', '1', '2', '10', '18140.450644'
'2019', '1', '2', '18', '2019', '1', '2', '11', '15638.954204000001'
'2019', '1', '2', '19', '2019', '1', '2', '12', '18466.347016'
'2019', '1', '2', '20', '2019', '1', '2', '13', '19738.796094'
'2019', '1', '2', '21', '2019', '1', '2', '14', '59631.644765000005'
'2019', '1', '2', '22', '2019', '1', '2', '15', '33546.169203'
'2019', '1', '2', '23', '2019', '1', '2', '16', '0.0'
'2019', '1', '3', '0', '2019', '1', '2', '17', '0.0'
'2019', '1', '3', '1', '2019', '1', '2', '18', '0.0'
'2019', '1', '3', '2', '2019', '1', '2', '19', '0.0'
'2019', '1', '3', '3', '2019', '1', '2', '20', '0.0'
'2019', '1', '3', '4', '2019', '1', '2', '21', '0.0'
'2019', '1', '3', '5', '2019', '1', '2', '22', '0.0'
'2019', '1', '3', '6', '2019', '1', '2', '23', '0.0'
'2019', '1', '3', '7', '2019', '1', '3', '0', '0.0'
'2019', '1', '3', '8', '2019', '1', '3', '1', '0.0'
'2019', '1', '3', '9', '2019', '1', '3', '2', '0.0'
'2019', '1', '3', '10', '2019', '1', '3', '3', '0.0'
'2019', '1', '3', '11', '2019', '1', '3', '4', '0.0'
'2019', '1', '3', '12', '2019', '1', '3', '5', '0.0'
'2019', '1', '3', '13', '2019', '1', '3', '6', '0.0'
'2019', '1', '3', '14', '2019', '1', '3', '7', '0.0'
'2019', '1', '3', '15', '2019', '1', '3', '8', '574.3168129999999'
'2019', '1', '3', '16', '2019', '1', '3', '9', '24219.461967'
'2019', '1', '3', '17', '2019', '1', '3', '10', '60930.13947699999'
'2019', '1', '3', '18', '2019', '1', '3', '11', '28013.36475'
'2019', '1', '3', '19', '2019', '1', '3', '12', '30586.265914999996'
'2019', '1', '3', '20', '2019', '1', '3', '13', '22004.75543'
'2019', '1', '3', '21', '2019', '1', '3', '14', '36374.332137000005'
'2019', '1', '3', '22', '2019', '1', '3', '15', '12904.229343'
'2019', '1', '3', '23', '2019', '1', '3', '16', '2510.70325'
'2019', '1', '4', '0', '2019', '1', '3', '17', '0.0'
'2019', '1', '4', '1', '2019', '1', '3', '18', '0.0'
'2019', '1', '4', '2', '2019', '1', '3', '19', '0.0'
'2019', '1', '4', '3', '2019', '1', '3', '20', '0.0'
'2019', '1', '4', '4', '2019', '1', '3', '21', '0.0'
'2019', '1', '4', '5', '2019', '1', '3', '22', '0.0'
'2019', '1', '4', '6', '2019', '1', '3', '23', '0.0'
'2019', '1', '4', '7', '2019', '1', '4', '0', '0.0'
'2019', '1', '4', '8', '2019', '1', '4', '1', '0.0'
'2019', '1', '4', '9', '2019', '1', '4', '2', '0.0'
'2019', '1', '4', '10', '2019', '1', '4', '3', '0.0'
'2019', '1', '4', '11', '2019', '1', '4', '4', '0.0'
'2019', '1', '4', '12', '2019', '1', '4', '5', '0.0'
'2019', '1', '4', '13', '2019', '1', '4', '6', '0.0'
'2019', '1', '4', '14', '2019', '1', '4', '7', '0.0'
'2019', '1', '4', '15', '2019', '1', '4', '8', '503.00047'
'2019', '1', '4', '16', '2019', '1', '4', '9', '22635.904001'
'2019', '1', '4', '17', '2019', '1', '4', '10', '38657.96772'
'2019', '1', '4', '18', '2019', '1', '4', '11', '31428.929439'
'2019', '1', '4', '19', '2019', '1', '4', '12', '29235.329062999997'
'2019', '1', '4', '20', '2019', '1', '4', '13', '20267.973657'
'2019', '1', '4', '21', '2019', '1', '4', '14', '28552.145141'
'2019', '1', '4', '22', '2019', '1', '4', '15', '22133.3145'
'2019', '1', '4', '23', '2019', '1', '4', '16', '546.4010619999999'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
