UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2017', '12', '5', '7', '2017', '12', '5', '0', '0.0'
'2017', '12', '5', '8', '2017', '12', '5', '1', '0.0'
'2017', '12', '5', '9', '2017', '12', '5', '2', '0.0'
'2017', '12', '5', '10', '2017', '12', '5', '3', '0.0'
'2017', '12', '5', '11', '2017', '12', '5', '4', '0.0'
'2017', '12', '5', '12', '2017', '12', '5', '5', '0.0'
'2017', '12', '5', '13', '2017', '12', '5', '6', '0.0'
'2017', '12', '5', '14', '2017', '12', '5', '7', '0.0'
'2017', '12', '5', '15', '2017', '12', '5', '8', '0.0'
'2017', '12', '5', '16', '2017', '12', '5', '9', '0.0'
'2017', '12', '5', '17', '2017', '12', '5', '10', '0.0'
'2017', '12', '5', '18', '2017', '12', '5', '11', '0.0'
'2017', '12', '5', '19', '2017', '12', '5', '12', '0.0'
'2017', '12', '5', '20', '2017', '12', '5', '13', '0.0'
'2017', '12', '5', '21', '2017', '12', '5', '14', '0.0'
'2017', '12', '5', '22', '2017', '12', '5', '15', '0.0'
'2017', '12', '5', '23', '2017', '12', '5', '16', '0.0'
'2017', '12', '6', '0', '2017', '12', '5', '17', '0.0'
'2017', '12', '6', '1', '2017', '12', '5', '18', '0.0'
'2017', '12', '6', '2', '2017', '12', '5', '19', '0.0'
'2017', '12', '6', '3', '2017', '12', '5', '20', '0.0'
'2017', '12', '6', '4', '2017', '12', '5', '21', '0.0'
'2017', '12', '6', '5', '2017', '12', '5', '22', '0.0'
'2017', '12', '6', '6', '2017', '12', '5', '23', '0.0'
'2017', '12', '6', '7', '2017', '12', '6', '0', '0.0'
'2017', '12', '6', '8', '2017', '12', '6', '1', '0.0'
'2017', '12', '6', '9', '2017', '12', '6', '2', '0.0'
'2017', '12', '6', '10', '2017', '12', '6', '3', '0.0'
'2017', '12', '6', '11', '2017', '12', '6', '4', '0.0'
'2017', '12', '6', '12', '2017', '12', '6', '5', '0.0'
'2017', '12', '6', '13', '2017', '12', '6', '6', '0.0'
'2017', '12', '6', '14', '2017', '12', '6', '7', '0.0'
'2017', '12', '6', '15', '2017', '12', '6', '8', '0.0'
'2017', '12', '6', '16', '2017', '12', '6', '9', '0.0'
'2017', '12', '6', '17', '2017', '12', '6', '10', '0.0'
'2017', '12', '6', '18', '2017', '12', '6', '11', '0.0'
'2017', '12', '6', '19', '2017', '12', '6', '12', '0.0'
'2017', '12', '6', '20', '2017', '12', '6', '13', '0.0'
'2017', '12', '6', '21', '2017', '12', '6', '14', '0.0'
'2017', '12', '6', '22', '2017', '12', '6', '15', '0.0'
'2017', '12', '6', '23', '2017', '12', '6', '16', '0.0'
'2017', '12', '7', '0', '2017', '12', '6', '17', '0.0'
'2017', '12', '7', '1', '2017', '12', '6', '18', '0.0'
'2017', '12', '7', '2', '2017', '12', '6', '19', '0.0'
'2017', '12', '7', '3', '2017', '12', '6', '20', '0.0'
'2017', '12', '7', '4', '2017', '12', '6', '21', '0.0'
'2017', '12', '7', '5', '2017', '12', '6', '22', '0.0'
'2017', '12', '7', '6', '2017', '12', '6', '23', '0.0'
'2017', '12', '7', '7', '2017', '12', '7', '0', '0.0'
'2017', '12', '7', '8', '2017', '12', '7', '1', '0.0'
'2017', '12', '7', '9', '2017', '12', '7', '2', '0.0'
'2017', '12', '7', '10', '2017', '12', '7', '3', '0.0'
'2017', '12', '7', '11', '2017', '12', '7', '4', '0.0'
'2017', '12', '7', '12', '2017', '12', '7', '5', '0.0'
'2017', '12', '7', '13', '2017', '12', '7', '6', '0.0'
'2017', '12', '7', '14', '2017', '12', '7', '7', '0.0'
'2017', '12', '7', '15', '2017', '12', '7', '8', '0.0'
'2017', '12', '7', '16', '2017', '12', '7', '9', '0.0'
'2017', '12', '7', '17', '2017', '12', '7', '10', '0.0'
'2017', '12', '7', '18', '2017', '12', '7', '11', '0.0'
'2017', '12', '7', '19', '2017', '12', '7', '12', '0.0'
'2017', '12', '7', '20', '2017', '12', '7', '13', '0.0'
'2017', '12', '7', '21', '2017', '12', '7', '14', '0.0'
'2017', '12', '7', '22', '2017', '12', '7', '15', '0.0'
'2017', '12', '7', '23', '2017', '12', '7', '16', '0.0'
'2017', '12', '8', '0', '2017', '12', '7', '17', '0.0'
'2017', '12', '8', '1', '2017', '12', '7', '18', '0.0'
'2017', '12', '8', '2', '2017', '12', '7', '19', '0.0'
'2017', '12', '8', '3', '2017', '12', '7', '20', '0.0'
'2017', '12', '8', '4', '2017', '12', '7', '21', '0.0'
'2017', '12', '8', '5', '2017', '12', '7', '22', '0.0'
'2017', '12', '8', '6', '2017', '12', '7', '23', '0.0'
'2017', '12', '8', '7', '2017', '12', '8', '0', '0.0'
'2017', '12', '8', '8', '2017', '12', '8', '1', '0.0'
'2017', '12', '8', '9', '2017', '12', '8', '2', '0.0'
'2017', '12', '8', '10', '2017', '12', '8', '3', '0.0'
'2017', '12', '8', '11', '2017', '12', '8', '4', '0.0'
'2017', '12', '8', '12', '2017', '12', '8', '5', '0.0'
'2017', '12', '8', '13', '2017', '12', '8', '6', '0.0'
'2017', '12', '8', '14', '2017', '12', '8', '7', '0.0'
'2017', '12', '8', '15', '2017', '12', '8', '8', '0.0'
'2017', '12', '8', '16', '2017', '12', '8', '9', '0.0'
'2017', '12', '8', '17', '2017', '12', '8', '10', '0.0'
'2017', '12', '8', '18', '2017', '12', '8', '11', '0.0'
'2017', '12', '8', '19', '2017', '12', '8', '12', '0.0'
'2017', '12', '8', '20', '2017', '12', '8', '13', '0.0'
'2017', '12', '8', '21', '2017', '12', '8', '14', '0.0'
'2017', '12', '8', '22', '2017', '12', '8', '15', '0.0'
'2017', '12', '8', '23', '2017', '12', '8', '16', '0.0'
'2017', '12', '9', '0', '2017', '12', '8', '17', '0.0'
'2017', '12', '9', '1', '2017', '12', '8', '18', '0.0'
'2017', '12', '9', '2', '2017', '12', '8', '19', '0.0'
'2017', '12', '9', '3', '2017', '12', '8', '20', '0.0'
'2017', '12', '9', '4', '2017', '12', '8', '21', '0.0'
'2017', '12', '9', '5', '2017', '12', '8', '22', '0.0'
'2017', '12', '9', '6', '2017', '12', '8', '23', '0.0'
'2017', '12', '9', '7', '2017', '12', '9', '0', '0.0'
'2017', '12', '9', '8', '2017', '12', '9', '1', '0.0'
'2017', '12', '9', '9', '2017', '12', '9', '2', '0.0'
'2017', '12', '9', '10', '2017', '12', '9', '3', '0.0'
'2017', '12', '9', '11', '2017', '12', '9', '4', '0.0'
'2017', '12', '9', '12', '2017', '12', '9', '5', '0.0'
'2017', '12', '9', '13', '2017', '12', '9', '6', '0.0'
'2017', '12', '9', '14', '2017', '12', '9', '7', '0.0'
'2017', '12', '9', '15', '2017', '12', '9', '8', '0.0'
'2017', '12', '9', '16', '2017', '12', '9', '9', '0.0'
'2017', '12', '9', '17', '2017', '12', '9', '10', '0.0'
'2017', '12', '9', '18', '2017', '12', '9', '11', '0.0'
'2017', '12', '9', '19', '2017', '12', '9', '12', '0.0'
'2017', '12', '9', '20', '2017', '12', '9', '13', '0.0'
'2017', '12', '9', '21', '2017', '12', '9', '14', '0.0'
'2017', '12', '9', '22', '2017', '12', '9', '15', '0.0'
'2017', '12', '9', '23', '2017', '12', '9', '16', '0.0'
'2017', '12', '10', '0', '2017', '12', '9', '17', '0.0'
'2017', '12', '10', '1', '2017', '12', '9', '18', '0.0'
'2017', '12', '10', '2', '2017', '12', '9', '19', '0.0'
'2017', '12', '10', '3', '2017', '12', '9', '20', '0.0'
'2017', '12', '10', '4', '2017', '12', '9', '21', '0.0'
'2017', '12', '10', '5', '2017', '12', '9', '22', '0.0'
'2017', '12', '10', '6', '2017', '12', '9', '23', '0.0'
'2017', '12', '10', '7', '2017', '12', '10', '0', '0.0'
'2017', '12', '10', '8', '2017', '12', '10', '1', '0.0'
'2017', '12', '10', '9', '2017', '12', '10', '2', '0.0'
'2017', '12', '10', '10', '2017', '12', '10', '3', '0.0'
'2017', '12', '10', '11', '2017', '12', '10', '4', '0.0'
'2017', '12', '10', '12', '2017', '12', '10', '5', '0.0'
'2017', '12', '10', '13', '2017', '12', '10', '6', '0.0'
'2017', '12', '10', '14', '2017', '12', '10', '7', '0.0'
'2017', '12', '10', '15', '2017', '12', '10', '8', '0.0'
'2017', '12', '10', '16', '2017', '12', '10', '9', '0.0'
'2017', '12', '10', '17', '2017', '12', '10', '10', '0.0'
'2017', '12', '10', '18', '2017', '12', '10', '11', '0.0'
'2017', '12', '10', '19', '2017', '12', '10', '12', '0.0'
'2017', '12', '10', '20', '2017', '12', '10', '13', '0.0'
'2017', '12', '10', '21', '2017', '12', '10', '14', '0.0'
'2017', '12', '10', '22', '2017', '12', '10', '15', '0.0'
'2017', '12', '10', '23', '2017', '12', '10', '16', '0.0'
'2017', '12', '11', '0', '2017', '12', '10', '17', '0.0'
'2017', '12', '11', '1', '2017', '12', '10', '18', '0.0'
'2017', '12', '11', '2', '2017', '12', '10', '19', '0.0'
'2017', '12', '11', '3', '2017', '12', '10', '20', '0.0'
'2017', '12', '11', '4', '2017', '12', '10', '21', '0.0'
'2017', '12', '11', '5', '2017', '12', '10', '22', '0.0'
'2017', '12', '11', '6', '2017', '12', '10', '23', '0.0'
'2017', '12', '11', '7', '2017', '12', '11', '0', '0.0'
'2017', '12', '11', '8', '2017', '12', '11', '1', '0.0'
'2017', '12', '11', '9', '2017', '12', '11', '2', '0.0'
'2017', '12', '11', '10', '2017', '12', '11', '3', '0.0'
'2017', '12', '11', '11', '2017', '12', '11', '4', '0.0'
'2017', '12', '11', '12', '2017', '12', '11', '5', '0.0'
'2017', '12', '11', '13', '2017', '12', '11', '6', '0.0'
'2017', '12', '11', '14', '2017', '12', '11', '7', '0.0'
'2017', '12', '11', '15', '2017', '12', '11', '8', '0.0'
'2017', '12', '11', '16', '2017', '12', '11', '9', '0.0'
'2017', '12', '11', '17', '2017', '12', '11', '10', '0.0'
'2017', '12', '11', '18', '2017', '12', '11', '11', '0.0'
'2017', '12', '11', '19', '2017', '12', '11', '12', '0.0'
'2017', '12', '11', '20', '2017', '12', '11', '13', '0.0'
'2017', '12', '11', '21', '2017', '12', '11', '14', '0.0'
'2017', '12', '11', '22', '2017', '12', '11', '15', '0.0'
'2017', '12', '11', '23', '2017', '12', '11', '16', '0.0'
'2017', '12', '12', '0', '2017', '12', '11', '17', '0.0'
'2017', '12', '12', '1', '2017', '12', '11', '18', '0.0'
'2017', '12', '12', '2', '2017', '12', '11', '19', '0.0'
'2017', '12', '12', '3', '2017', '12', '11', '20', '0.0'
'2017', '12', '12', '4', '2017', '12', '11', '21', '0.0'
'2017', '12', '12', '5', '2017', '12', '11', '22', '0.0'
'2017', '12', '12', '6', '2017', '12', '11', '23', '0.0'
'2017', '12', '12', '7', '2017', '12', '12', '0', '0.0'
'2017', '12', '12', '8', '2017', '12', '12', '1', '0.0'
'2017', '12', '12', '9', '2017', '12', '12', '2', '0.0'
'2017', '12', '12', '10', '2017', '12', '12', '3', '0.0'
'2017', '12', '12', '11', '2017', '12', '12', '4', '0.0'
'2017', '12', '12', '12', '2017', '12', '12', '5', '0.0'
'2017', '12', '12', '13', '2017', '12', '12', '6', '0.0'
'2017', '12', '12', '14', '2017', '12', '12', '7', '0.0'
'2017', '12', '12', '15', '2017', '12', '12', '8', '0.0'
'2017', '12', '12', '16', '2017', '12', '12', '9', '0.0'
'2017', '12', '12', '17', '2017', '12', '12', '10', '0.0'
'2017', '12', '12', '18', '2017', '12', '12', '11', '0.0'
'2017', '12', '12', '19', '2017', '12', '12', '12', '0.0'
'2017', '12', '12', '20', '2017', '12', '12', '13', '0.0'
'2017', '12', '12', '21', '2017', '12', '12', '14', '0.0'
'2017', '12', '12', '22', '2017', '12', '12', '15', '0.0'
'2017', '12', '12', '23', '2017', '12', '12', '16', '0.0'
'2017', '12', '13', '0', '2017', '12', '12', '17', '0.0'
'2017', '12', '13', '1', '2017', '12', '12', '18', '0.0'
'2017', '12', '13', '2', '2017', '12', '12', '19', '0.0'
'2017', '12', '13', '3', '2017', '12', '12', '20', '0.0'
'2017', '12', '13', '4', '2017', '12', '12', '21', '0.0'
'2017', '12', '13', '5', '2017', '12', '12', '22', '0.0'
'2017', '12', '13', '6', '2017', '12', '12', '23', '0.0'
'2017', '12', '13', '7', '2017', '12', '13', '0', '0.0'
'2017', '12', '13', '8', '2017', '12', '13', '1', '0.0'
'2017', '12', '13', '9', '2017', '12', '13', '2', '0.0'
'2017', '12', '13', '10', '2017', '12', '13', '3', '0.0'
'2017', '12', '13', '11', '2017', '12', '13', '4', '0.0'
'2017', '12', '13', '12', '2017', '12', '13', '5', '0.0'
'2017', '12', '13', '13', '2017', '12', '13', '6', '0.0'
'2017', '12', '13', '14', '2017', '12', '13', '7', '0.0'
'2017', '12', '13', '15', '2017', '12', '13', '8', '0.0'
'2017', '12', '13', '16', '2017', '12', '13', '9', '0.0'
'2017', '12', '13', '17', '2017', '12', '13', '10', '0.0'
'2017', '12', '13', '18', '2017', '12', '13', '11', '0.0'
'2017', '12', '13', '19', '2017', '12', '13', '12', '0.0'
'2017', '12', '13', '20', '2017', '12', '13', '13', '0.0'
'2017', '12', '13', '21', '2017', '12', '13', '14', '0.0'
'2017', '12', '13', '22', '2017', '12', '13', '15', '0.0'
'2017', '12', '13', '23', '2017', '12', '13', '16', '0.0'
'2017', '12', '14', '0', '2017', '12', '13', '17', '0.0'
'2017', '12', '14', '1', '2017', '12', '13', '18', '0.0'
'2017', '12', '14', '2', '2017', '12', '13', '19', '0.0'
'2017', '12', '14', '3', '2017', '12', '13', '20', '0.0'
'2017', '12', '14', '4', '2017', '12', '13', '21', '0.0'
'2017', '12', '14', '5', '2017', '12', '13', '22', '0.0'
'2017', '12', '14', '6', '2017', '12', '13', '23', '0.0'
'2017', '12', '14', '7', '2017', '12', '14', '0', '0.0'
'2017', '12', '14', '8', '2017', '12', '14', '1', '0.0'
'2017', '12', '14', '9', '2017', '12', '14', '2', '0.0'
'2017', '12', '14', '10', '2017', '12', '14', '3', '0.0'
'2017', '12', '14', '11', '2017', '12', '14', '4', '0.0'
'2017', '12', '14', '12', '2017', '12', '14', '5', '0.0'
'2017', '12', '14', '13', '2017', '12', '14', '6', '0.0'
'2017', '12', '14', '14', '2017', '12', '14', '7', '0.0'
'2017', '12', '14', '15', '2017', '12', '14', '8', '0.0'
'2017', '12', '14', '16', '2017', '12', '14', '9', '0.0'
'2017', '12', '14', '17', '2017', '12', '14', '10', '0.0'
'2017', '12', '14', '18', '2017', '12', '14', '11', '0.0'
'2017', '12', '14', '19', '2017', '12', '14', '12', '0.7698'
'2017', '12', '14', '20', '2017', '12', '14', '13', '1.122'
'2017', '12', '14', '21', '2017', '12', '14', '14', '1.0901'
'2017', '12', '14', '22', '2017', '12', '14', '15', '0.3598'
'2017', '12', '14', '23', '2017', '12', '14', '16', '0.0267'
'2017', '12', '15', '0', '2017', '12', '14', '17', '0.0'
'2017', '12', '15', '1', '2017', '12', '14', '18', '0.0'
'2017', '12', '15', '2', '2017', '12', '14', '19', '0.0'
'2017', '12', '15', '3', '2017', '12', '14', '20', '0.0'
'2017', '12', '15', '4', '2017', '12', '14', '21', '0.0'
'2017', '12', '15', '5', '2017', '12', '14', '22', '0.0'
'2017', '12', '15', '6', '2017', '12', '14', '23', '0.0'
'2017', '12', '15', '7', '2017', '12', '15', '0', '0.0'
'2017', '12', '15', '8', '2017', '12', '15', '1', '0.0'
'2017', '12', '15', '9', '2017', '12', '15', '2', '0.0'
'2017', '12', '15', '10', '2017', '12', '15', '3', '0.0'
'2017', '12', '15', '11', '2017', '12', '15', '4', '0.0'
'2017', '12', '15', '12', '2017', '12', '15', '5', '0.0'
'2017', '12', '15', '13', '2017', '12', '15', '6', '0.0'
'2017', '12', '15', '14', '2017', '12', '15', '7', '0.0'
'2017', '12', '15', '15', '2017', '12', '15', '8', '0.018'
'2017', '12', '15', '16', '2017', '12', '15', '9', '0.2814'
'2017', '12', '15', '17', '2017', '12', '15', '10', '0.3884'
'2017', '12', '15', '18', '2017', '12', '15', '11', '0.4598'
'2017', '12', '15', '19', '2017', '12', '15', '12', '0.5305'
'2017', '12', '15', '20', '2017', '12', '15', '13', '0.3317'
'2017', '12', '15', '21', '2017', '12', '15', '14', '0.2968'
'2017', '12', '15', '22', '2017', '12', '15', '15', '0.1132'
'2017', '12', '15', '23', '2017', '12', '15', '16', '0.0'
'2017', '12', '16', '0', '2017', '12', '15', '17', '0.0'
'2017', '12', '16', '1', '2017', '12', '15', '18', '0.0'
'2017', '12', '16', '2', '2017', '12', '15', '19', '0.0'
'2017', '12', '16', '3', '2017', '12', '15', '20', '0.0'
'2017', '12', '16', '4', '2017', '12', '15', '21', '0.0'
'2017', '12', '16', '5', '2017', '12', '15', '22', '0.0'
'2017', '12', '16', '6', '2017', '12', '15', '23', '0.0'
'2017', '12', '16', '7', '2017', '12', '16', '0', '0.0'
