UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '1', '5', '2019', '1', '1', '0', '0.0'
'2019', '1', '1', '6', '2019', '1', '1', '1', '0.0'
'2019', '1', '1', '7', '2019', '1', '1', '2', '0.0'
'2019', '1', '1', '8', '2019', '1', '1', '3', '0.0'
'2019', '1', '1', '9', '2019', '1', '1', '4', '0.0'
'2019', '1', '1', '10', '2019', '1', '1', '5', '0.0'
'2019', '1', '1', '11', '2019', '1', '1', '6', '0.0'
'2019', '1', '1', '12', '2019', '1', '1', '7', '0.0'
'2019', '1', '1', '13', '2019', '1', '1', '8', '21624.355972000005'
'2019', '1', '1', '14', '2019', '1', '1', '9', '52957.542843999996'
'2019', '1', '1', '15', '2019', '1', '1', '10', '94674.03737600002'
'2019', '1', '1', '16', '2019', '1', '1', '11', '119126.30579799999'
'2019', '1', '1', '17', '2019', '1', '1', '12', '130737.66431199998'
'2019', '1', '1', '18', '2019', '1', '1', '13', '116675.15768999996'
'2019', '1', '1', '19', '2019', '1', '1', '14', '131512.26775099998'
'2019', '1', '1', '20', '2019', '1', '1', '15', '70267.547375'
'2019', '1', '1', '21', '2019', '1', '1', '16', '4425.4072080000005'
'2019', '1', '1', '22', '2019', '1', '1', '17', '334.843564'
'2019', '1', '1', '23', '2019', '1', '1', '18', '0.0'
'2019', '1', '2', '0', '2019', '1', '1', '19', '0.0'
'2019', '1', '2', '1', '2019', '1', '1', '20', '0.0'
'2019', '1', '2', '2', '2019', '1', '1', '21', '0.0'
'2019', '1', '2', '3', '2019', '1', '1', '22', '0.0'
'2019', '1', '2', '4', '2019', '1', '1', '23', '0.0'
'2019', '1', '2', '5', '2019', '1', '2', '0', '0.0'
'2019', '1', '2', '6', '2019', '1', '2', '1', '0.0'
'2019', '1', '2', '7', '2019', '1', '2', '2', '0.0'
'2019', '1', '2', '8', '2019', '1', '2', '3', '0.0'
'2019', '1', '2', '9', '2019', '1', '2', '4', '0.0'
'2019', '1', '2', '10', '2019', '1', '2', '5', '0.0'
