File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '5', '2014', '1', '1', '0', '25865.71888154967'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '6', '2014', '1', '1', '1', '26032.426540201763'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '7', '2014', '1', '1', '2', '26483.18680407608'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '8', '2014', '1', '1', '3', '26976.437772928388'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '9', '2014', '1', '1', '4', '27635.947911548086'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '10', '2014', '1', '1', '5', '29609.203994476386'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '11', '2014', '1', '1', '6', '31995.32831851314'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '12', '2014', '1', '1', '7', '33874.75103144117'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '13', '2014', '1', '1', '8', '33149.4834175237'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '14', '2014', '1', '1', '9', '30538.762769030578'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '15', '2014', '1', '1', '10', '28175.573044430486'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '16', '2014', '1', '1', '11', '25903.354033341202'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '17', '2014', '1', '1', '12', '24614.8568586294'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '18', '2014', '1', '1', '13', '23953.420146790035'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '19', '2014', '1', '1', '14', '24276.505752363173'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '20', '2014', '1', '1', '15', '26272.541702108338'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '21', '2014', '1', '1', '16', '29082.64173421302'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '22', '2014', '1', '1', '17', '31137.54079284118'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '1', '23', '2014', '1', '1', '18', '30971.96448356911'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '2', '0', '2014', '1', '1', '19', '30350.96459051428'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '2', '1', '2014', '1', '1', '20', '28970.074666848654'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '2', '2', '2014', '1', '1', '21', '27161.40230490992'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '2', '3', '2014', '1', '1', '22', '25612.661598829432'
'QuebecDemand_Partial_Lower_Line.csv', '2', '2014', '1', '2', '4', '2014', '1', '1', '23', '23822.023047375165'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '5', '2014', '1', '2', '0', '25763.2360645325'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '6', '2014', '1', '2', '1', '25932.076898599207'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '7', '2014', '1', '2', '2', '26388.605048127705'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '8', '2014', '1', '2', '3', '26888.167609671662'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '9', '2014', '1', '2', '4', '27556.116777576324'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '10', '2014', '1', '2', '5', '29554.62245849475'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '11', '2014', '1', '2', '6', '31971.279403440483'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '12', '2014', '1', '2', '7', '33874.75103144117'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '13', '2014', '1', '2', '8', '33140.20296181138'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '14', '2014', '1', '2', '9', '30496.075779108494'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '15', '2014', '1', '2', '10', '28102.646902562148'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '16', '2014', '1', '2', '11', '25801.352792162696'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '17', '2014', '1', '2', '12', '24496.36812961069'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '18', '2014', '1', '2', '13', '23826.46773623787'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '19', '2014', '1', '2', '14', '24153.687514627047'
'QuebecDemand_Partial_Lower_Line.csv', '4', '2014', '1', '2', '20', '2014', '1', '2', '15', '26175.264551381104'
