HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2017-03-01 00:00,1646,1686,531,0,-582,104,102
2017-03-01 01:00,1582,1613,354,-11,-393,60,81
2017-03-01 02:00,1567,1596,398,-23,-301,26,65
2017-03-01 03:00,1564,1592,262,-25,-316,69,58
2017-03-01 04:00,1567,1597,438,-25,-491,70,59
2017-03-01 05:00,1594,1624,455,-25,-491,70,27
2017-03-01 06:00,1659,1691,433,-22,-325,70,28
2017-03-01 07:00,1831,1876,580,-15,-599,75,41
2017-03-01 08:00,1988,2042,585,-4,-690,103,55
2017-03-01 09:00,1972,2022,646,10,-694,53,51
2017-03-01 10:00,1940,1989,663,12,-694,39,26
2017-03-01 11:00,1923,1968,685,11,-694,-31,20
2017-03-01 12:00,1897,1941,788,7,-694,-38,12
2017-03-01 13:00,1863,1906,853,7,-694,-67,16
2017-03-01 14:00,1842,1885,890,6,-694,-68,21
2017-03-01 15:00,1814,1857,931,-4,-694,-68,18
2017-03-01 16:00,1820,1862,880,7,-694,-66,22
2017-03-01 17:00,1852,1895,778,4,-694,0,25
2017-03-01 18:00,1856,1899,778,6,-694,27,34
2017-03-01 19:00,1858,1900,824,8,-694,-37,38
2017-03-01 20:00,1837,1878,892,8,-694,-67,35
2017-03-01 21:00,1793,1833,856,0,-694,-67,8
2017-03-01 22:00,1722,1760,947,-9,-694,-50,19
2017-03-01 23:00,1621,1655,940,-11,-587,-48,44
2017-03-02 00:00,1506,1536,749,-19,-458,-1,52
2017-03-02 01:00,1431,1455,378,-23,-110,-1,62
2017-03-02 02:00,1411,1434,681,-13,-207,-73,45
2017-03-02 03:00,1415,1440,691,-10,-206,-75,36
2017-03-02 04:00,1428,1453,683,-7,-188,-75,53
2017-03-02 05:00,1468,1495,680,-10,-188,-75,81
2017-03-02 06:00,1543,1572,550,-10,-188,-73,95
2017-03-02 07:00,1715,1753,389,-11,-310,0,122
2017-03-02 08:00,1889,1937,393,-13,-512,29,150
2017-03-02 09:00,1900,1952,434,-14,-512,31,167
2017-03-02 10:00,1874,1928,392,15,-512,78,164
2017-03-02 11:00,1845,1897,475,14,-512,51,150
2017-03-02 12:00,1828,1879,497,9,-512,74,161
2017-03-02 13:00,1794,1843,501,-26,-512,74,154
2017-03-02 14:00,1793,1841,651,-35,-512,49,139
2017-03-02 15:00,1783,1826,694,-37,-512,1,127
2017-03-02 16:00,1813,1860,759,-38,-512,0,112
2017-03-02 17:00,1882,1934,732,-38,-512,-1,114
2017-03-02 18:00,1913,1965,690,-33,-512,-49,148
2017-03-02 19:00,1965,2018,531,-31,-512,-2,137
2017-03-02 20:00,1989,2042,531,-28,-512,-50,131
2017-03-02 21:00,1983,2037,607,-7,-521,-45,151
2017-03-02 22:00,1948,2001,771,-14,-659,-59,151
2017-03-02 23:00,1884,1928,780,-21,-580,-44,134
2017-03-03 00:00,1833,1881,990,-28,-717,-9,96
