File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'Nova_Scotia_Load_2021_01.csv', '883', '2021', '1', '1', '4', '2021', '1', '1', '0', '1136.6239554435615'
'Nova_Scotia_Load_2021_01.csv', '886', '2021', '1', '1', '5', '2021', '1', '1', '1', '1128.8818928009052'
'Nova_Scotia_Load_2021_01.csv', '888', '2021', '1', '1', '6', '2021', '1', '1', '2', '1131.6971883073256'
'Nova_Scotia_Load_2021_01.csv', '889', '2021', '1', '1', '7', '2021', '1', '1', '3', '1155.5952081175083'
'Nova_Scotia_Load_2021_01.csv', '898', '2021', '1', '1', '8', '2021', '1', '1', '4', '1194.3081873303224'
'Nova_Scotia_Load_2021_01.csv', '920', '2021', '1', '1', '9', '2021', '1', '1', '5', '1237.270769798093'
'Nova_Scotia_Load_2021_01.csv', '935', '2021', '1', '1', '10', '2021', '1', '1', '6', '1276.7351800220226'
'Nova_Scotia_Load_2021_01.csv', '949', '2021', '1', '1', '11', '2021', '1', '1', '7', '1313.3326251295427'
'Nova_Scotia_Load_2021_01.csv', '960', '2021', '1', '1', '12', '2021', '1', '1', '8', '1339.0202415593055'
'Nova_Scotia_Load_2021_01.csv', '964', '2021', '1', '1', '13', '2021', '1', '1', '9', '1347.7711184250957'
'Nova_Scotia_Load_2021_01.csv', '973', '2021', '1', '1', '14', '2021', '1', '1', '10', '1328.7678737567576'
'Nova_Scotia_Load_2021_01.csv', '985', '2021', '1', '1', '15', '2021', '1', '1', '11', '1293.576679926502'
'Nova_Scotia_Load_2021_01.csv', '992', '2021', '1', '1', '16', '2021', '1', '1', '12', '1273.1657875049536'
'Nova_Scotia_Load_2021_01.csv', '993', '2021', '1', '1', '17', '2021', '1', '1', '13', '1276.7142328828377'
'Nova_Scotia_Load_2021_01.csv', '996', '2021', '1', '1', '18', '2021', '1', '1', '14', '1347.0487728675273'
'Nova_Scotia_Load_2021_01.csv', '1049', '2021', '1', '1', '19', '2021', '1', '1', '15', '1442.7990721647295'
'Nova_Scotia_Load_2021_01.csv', '1078', '2021', '1', '1', '20', '2021', '1', '1', '16', '1481.4976549800676'
'Nova_Scotia_Load_2021_01.csv', '1088', '2021', '1', '1', '21', '2021', '1', '1', '17', '1455.4561715456784'
'Nova_Scotia_Load_2021_01.csv', '1104', '2021', '1', '1', '22', '2021', '1', '1', '18', '1413.2267389493713'
'Nova_Scotia_Load_2021_01.csv', '1122', '2021', '1', '1', '23', '2021', '1', '1', '19', '1362.5514198338033'
'Nova_Scotia_Load_2021_01.csv', '1140', '2021', '1', '2', '0', '2021', '1', '1', '20', '1311.876100718235'
'Nova_Scotia_Load_2021_01.csv', '1155', '2021', '1', '2', '1', '2021', '1', '1', '21', '1269.646668121928'
'Nova_Scotia_Load_2021_01.csv', '1168', '2021', '1', '2', '2', '2021', '1', '1', '22', '1231.640178785252'
'Nova_Scotia_Load_2021_01.csv', '1179', '2021', '1', '2', '3', '2021', '1', '1', '23', '1198.5604565848116'
'Nova_Scotia_Load_2021_01.csv', '1184', '2021', '1', '2', '4', '2021', '1', '2', '0', '1183.076331299499'
'Nova_Scotia_Load_2021_01.csv', '1186', '2021', '1', '2', '5', '2021', '1', '2', '1', '1176.0380925334478'
'Nova_Scotia_Load_2021_01.csv', '1187', '2021', '1', '2', '6', '2021', '1', '2', '2', '1178.677432070717'
'Nova_Scotia_Load_2021_01.csv', '1189', '2021', '1', '2', '7', '2021', '1', '2', '3', '1199.3229324511337'
'Nova_Scotia_Load_2021_01.csv', '1195', '2021', '1', '2', '8', '2021', '1', '2', '4', '1240.5919387158233'
'Nova_Scotia_Load_2021_01.csv', '1210', '2021', '1', '2', '9', '2021', '1', '2', '5', '1292.6969000807458'
'Nova_Scotia_Load_2021_01.csv', '1230', '2021', '1', '2', '10', '2021', '1', '2', '6', '1357.3753817412696'
'Nova_Scotia_Load_2021_01.csv', '1251', '2021', '1', '2', '11', '2021', '1', '2', '7', '1424.2479810171199'
'Nova_Scotia_Load_2021_01.csv', '1277', '2021', '1', '2', '12', '2021', '1', '2', '8', '1478.0225245893296'
'Nova_Scotia_Load_2021_01.csv', '1300', '2021', '1', '2', '13', '2021', '1', '2', '9', '1513.704114222498'
'Nova_Scotia_Load_2021_01.csv', '1309', '2021', '1', '2', '14', '2021', '1', '2', '10', '1532.9647759568165'
'Nova_Scotia_Load_2021_01.csv', '1312', '2021', '1', '2', '15', '2021', '1', '2', '11', '1537.4516531701743'
