File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'Nova_Scotia_Load_2020_01.csv', '357', '2020', '1', '1', '4', '2020', '1', '1', '0', '1095.1519669873646'
'Nova_Scotia_Load_2020_01.csv', '386', '2020', '1', '1', '5', '2020', '1', '1', '1', '1024.3243947373319'
'Nova_Scotia_Load_2020_01.csv', '388', '2020', '1', '1', '6', '2020', '1', '1', '2', '1019.604741611925'
'Nova_Scotia_Load_2020_01.csv', '391', '2020', '1', '1', '7', '2020', '1', '1', '3', '1030.092859668385'
'Nova_Scotia_Load_2020_01.csv', '396', '2020', '1', '1', '8', '2020', '1', '1', '4', '1056.662758744751'
'Nova_Scotia_Load_2020_01.csv', '404', '2020', '1', '1', '9', '2020', '1', '1', '5', '1092.8308749515743'
'Nova_Scotia_Load_2020_01.csv', '416', '2020', '1', '1', '10', '2020', '1', '1', '6', '1146.8256136367866'
'Nova_Scotia_Load_2020_01.csv', '428', '2020', '1', '1', '11', '2020', '1', '1', '7', '1209.505229171707'
'Nova_Scotia_Load_2020_01.csv', '457', '2020', '1', '1', '12', '2020', '1', '1', '8', '1255.4260422198715'
'Nova_Scotia_Load_2020_01.csv', '469', '2020', '1', '1', '13', '2020', '1', '1', '9', '1296.3599568267675'
'Nova_Scotia_Load_2020_01.csv', '474', '2020', '1', '1', '14', '2020', '1', '1', '10', '1321.1381357351547'
'Nova_Scotia_Load_2020_01.csv', '477', '2020', '1', '1', '15', '2020', '1', '1', '11', '1316.4184826097476'
'Nova_Scotia_Load_2020_01.csv', '482', '2020', '1', '1', '16', '2020', '1', '1', '12', '1299.6374937194114'
'Nova_Scotia_Load_2020_01.csv', '483', '2020', '1', '1', '17', '2020', '1', '1', '13', '1317.1176904801785'
'Nova_Scotia_Load_2020_01.csv', '499', '2020', '1', '1', '18', '2020', '1', '1', '14', '1367.0760928224502'
'Nova_Scotia_Load_2020_01.csv', '520', '2020', '1', '1', '19', '2020', '1', '1', '15', '1410.3220996085877'
'Nova_Scotia_Load_2020_01.csv', '527', '2020', '1', '1', '20', '2020', '1', '1', '16', '1438.1389193872217'
'Nova_Scotia_Load_2020_01.csv', '543', '2020', '1', '1', '21', '2020', '1', '1', '17', '1397.176991644491'
'Nova_Scotia_Load_2020_01.csv', '557', '2020', '1', '1', '22', '2020', '1', '1', '18', '1344.73640136219'
'Nova_Scotia_Load_2020_01.csv', '573', '2020', '1', '1', '23', '2020', '1', '1', '19', '1284.9541284403672'
'Nova_Scotia_Load_2020_01.csv', '590', '2020', '1', '2', '0', '2020', '1', '1', '20', '1225.1718555185441'
'Nova_Scotia_Load_2020_01.csv', '617', '2020', '1', '2', '1', '2020', '1', '1', '21', '1131.8276048160487'
'Nova_Scotia_Load_2020_01.csv', '627', '2020', '1', '2', '2', '2020', '1', '1', '22', '1098.2656270353762'
'Nova_Scotia_Load_2020_01.csv', '630', '2020', '1', '2', '3', '2020', '1', '1', '23', '1090.923944395854'
'Nova_Scotia_Load_2020_01.csv', '633', '2020', '1', '2', '4', '2020', '1', '2', '0', '1082.009044047863'
'Nova_Scotia_Load_2020_01.csv', '634', '2020', '1', '2', '5', '2020', '1', '2', '1', '1082.883053885901'
'Nova_Scotia_Load_2020_01.csv', '637', '2020', '1', '2', '6', '2020', '1', '2', '2', '1094.8195311025393'
'Nova_Scotia_Load_2020_01.csv', '643', '2020', '1', '2', '7', '2020', '1', '2', '3', '1136.7919806961065'
'Nova_Scotia_Load_2020_01.csv', '657', '2020', '1', '2', '8', '2020', '1', '2', '4', '1208.3489141559821'
'Nova_Scotia_Load_2020_01.csv', '679', '2020', '1', '2', '9', '2020', '1', '2', '5', '1295.1703323249928'
'Nova_Scotia_Load_2020_01.csv', '707', '2020', '1', '2', '10', '2020', '1', '2', '6', '1382.5412996293396'
'Nova_Scotia_Load_2020_01.csv', '735', '2020', '1', '2', '11', '2020', '1', '2', '7', '1432.7054915607498'
'Nova_Scotia_Load_2020_01.csv', '740', '2020', '1', '2', '12', '2020', '1', '2', '8', '1462.413085955673'
'Nova_Scotia_Load_2020_01.csv', '743', '2020', '1', '2', '13', '2020', '1', '2', '9', '1481.2916984573014'
'Nova_Scotia_Load_2020_01.csv', '750', '2020', '1', '2', '14', '2020', '1', '2', '10', '1498.0726873476378'
'Nova_Scotia_Load_2020_01.csv', '762', '2020', '1', '2', '15', '2020', '1', '2', '11', '1461.154511788898'
'Nova_Scotia_Load_2020_01.csv', '764', '2020', '1', '2', '16', '2020', '1', '2', '12', '1454.8616409550218'
'Nova_Scotia_Load_2020_01.csv', '765', '2020', '1', '2', '17', '2020', '1', '2', '13', '1463.8814224835776'
'Nova_Scotia_Load_2020_01.csv', '771', '2020', '1', '2', '18', '2020', '1', '2', '14', '1502.6991127569877'
'Nova_Scotia_Load_2020_01.csv', '799', '2020', '1', '2', '19', '2020', '1', '2', '15', '1530.376090961535'
'Nova_Scotia_Load_2020_01.csv', '801', '2020', '1', '2', '20', '2020', '1', '2', '16', '1576.7485557968841'
'Nova_Scotia_Load_2020_01.csv', '821', '2020', '1', '2', '21', '2020', '1', '2', '17', '1509.3998548486147'
'Nova_Scotia_Load_2020_01.csv', '834', '2020', '1', '2', '22', '2020', '1', '2', '18', '1464.825353108659'
'Nova_Scotia_Load_2020_01.csv', '852', '2020', '1', '2', '23', '2020', '1', '2', '19', '1399.274615255783'
'Nova_Scotia_Load_2020_01.csv', '870', '2020', '1', '3', '0', '2020', '1', '2', '20', '1341.065560042429'
'Nova_Scotia_Load_2020_01.csv', '874', '2020', '1', '3', '1', '2020', '1', '2', '21', '1320.232343721188'
'Nova_Scotia_Load_2020_01.csv', '884', '2020', '1', '3', '2', '2020', '1', '2', '22', '1281.4406088914527'
'Nova_Scotia_Load_2020_01.csv', '906', '2020', '1', '3', '3', '2020', '1', '2', '23', '1211.012896142323'
'Nova_Scotia_Load_2020_01.csv', '914', '2020', '1', '3', '4', '2020', '1', '3', '0', '1187.9390364181106'
'Nova_Scotia_Load_2020_01.csv', '915', '2020', '1', '3', '5', '2020', '1', '3', '1', '1183.3941852603114'
'Nova_Scotia_Load_2020_01.csv', '919', '2020', '1', '3', '6', '2020', '1', '3', '2', '1175.8777006531814'
'Nova_Scotia_Load_2020_01.csv', '921', '2020', '1', '3', '7', '2020', '1', '3', '3', '1205.4461257892785'
'Nova_Scotia_Load_2020_01.csv', '935', '2020', '1', '3', '8', '2020', '1', '3', '4', '1269.8337582423037'
'Nova_Scotia_Load_2020_01.csv', '957', '2020', '1', '3', '9', '2020', '1', '3', '5', '1352.7455096962142'
'Nova_Scotia_Load_2020_01.csv', '988', '2020', '1', '3', '10', '2020', '1', '3', '6', '1415.7471300856355'
'Nova_Scotia_Load_2020_01.csv', '1003', '2020', '1', '3', '11', '2020', '1', '3', '7', '1452.4144134085145'
'Nova_Scotia_Load_2020_01.csv', '1007', '2020', '1', '3', '12', '2020', '1', '3', '8', '1466.398570817128'
'Nova_Scotia_Load_2020_01.csv', '1017', '2020', '1', '3', '13', '2020', '1', '3', '9', '1441.2270874816236'
'Nova_Scotia_Load_2020_01.csv', '1026', '2020', '1', '3', '14', '2020', '1', '3', '10', '1418.1532277574113'
'Nova_Scotia_Load_2020_01.csv', '1035', '2020', '1', '3', '15', '2020', '1', '3', '11', '1383.0180322682697'
'Nova_Scotia_Load_2020_01.csv', '1039', '2020', '1', '3', '16', '2020', '1', '3', '12', '1369.9078846976945'
'Nova_Scotia_Load_2020_01.csv', '1042', '2020', '1', '3', '17', '2020', '1', '3', '13', '1372.7047161794171'
'Nova_Scotia_Load_2020_01.csv', '1043', '2020', '1', '3', '18', '2020', '1', '3', '14', '1397.9434310409245'
'Nova_Scotia_Load_2020_01.csv', '1055', '2020', '1', '3', '19', '2020', '1', '3', '15', '1446.2613841487243'
'Nova_Scotia_Load_2020_01.csv', '1079', '2020', '1', '3', '20', '2020', '1', '3', '16', '1443.3247110929158'
'Nova_Scotia_Load_2020_01.csv', '1092', '2020', '1', '3', '21', '2020', '1', '3', '17', '1397.701397547314'
'Nova_Scotia_Load_2020_01.csv', '1104', '2020', '1', '3', '22', '2020', '1', '3', '18', '1352.078084001712'
'Nova_Scotia_Load_2020_01.csv', '1105', '2020', '1', '3', '23', '2020', '1', '3', '19', '1328.0209632097067'
'Nova_Scotia_Load_2020_01.csv', '1121', '2020', '1', '4', '0', '2020', '1', '3', '20', '1275.2151616736542'
'Nova_Scotia_Load_2020_01.csv', '1135', '2020', '1', '4', '1', '2020', '1', '3', '21', '1235.2928894430283'
'Nova_Scotia_Load_2020_01.csv', '1159', '2020', '1', '4', '2', '2020', '1', '3', '22', '1161.1943353741372'
'Nova_Scotia_Load_2020_01.csv', '1174', '2020', '1', '4', '3', '2020', '1', '3', '23', '1107.7049332861902'
'Nova_Scotia_Load_2020_01.csv', '1183', '2020', '1', '4', '4', '2020', '1', '4', '0', '1077.2893909224558'
'Nova_Scotia_Load_2020_01.csv', '1189', '2020', '1', '4', '5', '2020', '1', '4', '1', '1054.2155311982435'
'Nova_Scotia_Load_2020_01.csv', '1188', '2020', '1', '4', '6', '2020', '1', '4', '2', '1053.6911252954205'
'Nova_Scotia_Load_2020_01.csv', '1192', '2020', '1', '4', '7', '2020', '1', '4', '3', '1068.898896477288'
'Nova_Scotia_Load_2020_01.csv', '1198', '2020', '1', '4', '8', '2020', '1', '4', '4', '1108.491542140425'
'Nova_Scotia_Load_2020_01.csv', '1220', '2020', '1', '4', '9', '2020', '1', '4', '5', '1166.2635924347594'
'Nova_Scotia_Load_2020_01.csv', '1239', '2020', '1', '4', '10', '2020', '1', '4', '6', '1232.4086569775016'
'Nova_Scotia_Load_2020_01.csv', '1258', '2020', '1', '4', '11', '2020', '1', '4', '7', '1293.973909968923'
'Nova_Scotia_Load_2020_01.csv', '1264', '2020', '1', '4', '12', '2020', '1', '4', '8', '1333.3493017580333'
'Nova_Scotia_Load_2020_01.csv', '1272', '2020', '1', '4', '13', '2020', '1', '4', '9', '1347.3584308763052'
'Nova_Scotia_Load_2020_01.csv', '1277', '2020', '1', '4', '14', '2020', '1', '4', '10', '1348.9316485847742'
'Nova_Scotia_Load_2020_01.csv', '1280', '2020', '1', '4', '15', '2020', '1', '4', '11', '1333.199471500084'
'Nova_Scotia_Load_2020_01.csv', '1281', '2020', '1', '4', '16', '2020', '1', '4', '12', '1328.3050164070692'
'Nova_Scotia_Load_2020_01.csv', '1284', '2020', '1', '4', '17', '2020', '1', '4', '13', '1328.5547335036515'
'Nova_Scotia_Load_2020_01.csv', '1290', '2020', '1', '4', '18', '2020', '1', '4', '14', '1371.265170563825'
'Nova_Scotia_Load_2020_01.csv', '1306', '2020', '1', '4', '19', '2020', '1', '4', '15', '1437.4422448786404'
