File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'PEI_Load_2020_01.csv', '127', '2020', '1', '1', '4', '2020', '1', '1', '0', '157.62936487574427'
'PEI_Load_2020_01.csv', '132', '2020', '1', '1', '5', '2020', '1', '1', '1', '151.81218464224315'
'PEI_Load_2020_01.csv', '134', '2020', '1', '1', '6', '2020', '1', '1', '2', '153.4603857084018'
'PEI_Load_2020_01.csv', '136', '2020', '1', '1', '7', '2020', '1', '1', '3', '152.10304365391818'
'PEI_Load_2020_01.csv', '144', '2020', '1', '1', '8', '2020', '1', '1', '4', '157.04764685239417'
'PEI_Load_2020_01.csv', '145', '2020', '1', '1', '9', '2020', '1', '1', '5', '160.99040234398933'
'PEI_Load_2020_01.csv', '150', '2020', '1', '1', '10', '2020', '1', '1', '6', '171.54696858439576'
'PEI_Load_2020_01.csv', '164', '2020', '1', '1', '11', '2020', '1', '1', '7', '182.67555754776302'
'PEI_Load_2020_01.csv', '177', '2020', '1', '1', '12', '2020', '1', '1', '8', '192.12847542720235'
'PEI_Load_2020_01.csv', '186', '2020', '1', '1', '13', '2020', '1', '1', '9', '198.27691175733344'
'PEI_Load_2020_01.csv', '193', '2020', '1', '1', '14', '2020', '1', '1', '10', '199.51306255695243'
'PEI_Load_2020_01.csv', '201', '2020', '1', '1', '15', '2020', '1', '1', '11', '190.78729220670073'
'PEI_Load_2020_01.csv', '205', '2020', '1', '1', '16', '2020', '1', '1', '12', '188.16956110162522'
'PEI_Load_2020_01.csv', '209', '2020', '1', '1', '17', '2020', '1', '1', '13', '188.71492174851593'
'PEI_Load_2020_01.csv', '212', '2020', '1', '1', '18', '2020', '1', '1', '14', '199.51306255695238'
'PEI_Load_2020_01.csv', '227', '2020', '1', '1', '19', '2020', '1', '1', '15', '216.38288523410571'
'PEI_Load_2020_01.csv', '248', '2020', '1', '1', '20', '2020', '1', '1', '16', '217.5463212808059'
'PEI_Load_2020_01.csv', '250', '2020', '1', '1', '21', '2020', '1', '1', '17', '217.4372491514278'
'PEI_Load_2020_01.csv', '260', '2020', '1', '1', '22', '2020', '1', '1', '18', '207.07539686050387'
'PEI_Load_2020_01.csv', '272', '2020', '1', '1', '23', '2020', '1', '1', '19', '198.05876749857714'
'PEI_Load_2020_01.csv', '280', '2020', '1', '2', '0', '2020', '1', '1', '20', '189.04213813665035'
'PEI_Load_2020_01.csv', '291', '2020', '1', '2', '1', '2020', '1', '1', '21', '176.53520063462292'
'PEI_Load_2020_01.csv', '296', '2020', '1', '2', '2', '2020', '1', '1', '22', '171.0088794127969'
'PEI_Load_2020_01.csv', '300', '2020', '1', '2', '3', '2020', '1', '1', '23', '166.35513522599598'
'PEI_Load_2020_01.csv', '306', '2020', '1', '2', '4', '2020', '1', '2', '0', '163.73740412092047'
'PEI_Load_2020_01.csv', '312', '2020', '1', '2', '5', '2020', '1', '2', '1', '164.0282631325955'
'PEI_Load_2020_01.csv', '311', '2020', '1', '2', '6', '2020', '1', '2', '2', '166.71062957359882'
'PEI_Load_2020_01.csv', '316', '2020', '1', '2', '7', '2020', '1', '2', '3', '172.6231469275934'
'PEI_Load_2020_01.csv', '324', '2020', '1', '2', '8', '2020', '1', '2', '4', '185.1491021342304'
'PEI_Load_2020_01.csv', '346', '2020', '1', '2', '9', '2020', '1', '2', '5', '200.106899705789'
