File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'PEI_Wind_2020_01.csv', '279', '2020', '1', '1', '4', '2020', '1', '1', '0', '158.185482261272'
'PEI_Wind_2020_01.csv', '276', '2020', '1', '1', '5', '2020', '1', '1', '1', '162.26866466078704'
'PEI_Wind_2020_01.csv', '303', '2020', '1', '1', '6', '2020', '1', '1', '2', '138.79036586357552'
'PEI_Wind_2020_01.csv', '304', '2020', '1', '1', '7', '2020', '1', '1', '3', '150.44849973838143'
'PEI_Wind_2020_01.csv', '339', '2020', '1', '1', '8', '2020', '1', '1', '4', '131.93645255010387'
'PEI_Wind_2020_01.csv', '381', '2020', '1', '1', '9', '2020', '1', '1', '5', '101.16675661090125'
'PEI_Wind_2020_01.csv', '397', '2020', '1', '1', '10', '2020', '1', '1', '6', '118.54762454812266'
'PEI_Wind_2020_01.csv', '398', '2020', '1', '1', '11', '2020', '1', '1', '7', '114.06766862079759'
'PEI_Wind_2020_01.csv', '416', '2020', '1', '1', '12', '2020', '1', '1', '8', '102.99521466343134'
'PEI_Wind_2020_01.csv', '423', '2020', '1', '1', '13', '2020', '1', '1', '9', '112.97881998092694'
'PEI_Wind_2020_01.csv', '463', '2020', '1', '1', '14', '2020', '1', '1', '10', '101.0209286680614'
'PEI_Wind_2020_01.csv', '453', '2020', '1', '1', '15', '2020', '1', '1', '11', '113.18405930788664'
'PEI_Wind_2020_01.csv', '464', '2020', '1', '1', '16', '2020', '1', '1', '12', '120.93795559802675'
'PEI_Wind_2020_01.csv', '500', '2020', '1', '1', '17', '2020', '1', '1', '13', '110.97368576687933'
'PEI_Wind_2020_01.csv', '508', '2020', '1', '1', '18', '2020', '1', '1', '14', '112.64549896872157'
'PEI_Wind_2020_01.csv', '516', '2020', '1', '1', '19', '2020', '1', '1', '15', '125.22836717947199'
